'goals','hat_y_g','hat_y_xG'
5.0,2.596,3.2
2.0,2.0855,2.5
0.0,1.27250,1.5
3.0,1.7075,2.2
4.0,1.575,2.5
2.0,1.14600,1.7
0.0,1.50300,1.6
1.0,1.045,1.1
1.0,1.4785,1.5
2.0,1.9665,1.7
2.0,1.09,0.8
2.0,2.0975,2.0
2.0,1.327,1.3
0.0,0.9475,0.4
2.0,1.62949,1.9
2.0,1.9175,1.3
1.0,1.275,1.4
3.0,1.61900,2.7
3.0,1.027,1.2
1.0,1.3455,1.5
1.0,1.3565,0.8
1.0,1.764,1.0
2.0,1.161,1.0
0.0,1.3485,1.4
1.0,1.4125,0.9
1.0,1.1435,1.1
2.0,1.65,1.4
3.0,1.5335,0.8
0.0,0.94900,0.9
0.0,1.49549,1.6
2.0,1.09599,1.0
0.0,1.215,0.9
0.0,1.3185,0.9
2.0,1.02450,2.1
3.0,1.46499,1.6
1.0,1.3215,1.0
2.0,1.621,1.6
1.0,1.43300,1.5
4.0,1.0925,1.4
3.0,1.831,2.2
4.0,1.39750,1.1
3.0,2.956,2.8
0.0,1.2,1.4
6.0,1.815,1.8
0.0,1.1795,1.6
1.0,1.4085,1.4
2.0,1.50998,1.6
3.0,1.221,2.6
2.0,3.2695,3.9
2.0,1.355,1.5
0.0,1.73,1.2
2.0,1.31750,1.3
1.0,1.1875,0.4
3.0,1.3255,0.8
2.0,1.53849,2.5
1.0,1.39249,1.9
2.0,1.19600,1.3
2.0,2.0235,2.2
2.0,2.523,3.2
2.0,1.8905,1.9
2.0,1.3235,1.4
0.0,1.656,2.1
1.0,1.35049,0.7
4.0,1.64397,1.4
1.0,2.112,2.6
1.0,1.0265,0.4
1.0,1.2575,0.8
4.0,2.6135,2.5
3.0,1.702,2.0
2.0,1.7965,1.4
3.0,1.6595,1.9
3.0,2.292,2.4
2.0,1.71197,1.7
0.0,1.63200,2.5
1.0,1.533,1.7
1.0,1.4085,2.1
3.0,1.6745,2.2
2.0,1.83350,1.7
2.0,1.8645,2.4
0.0,1.16800,1.4
0.0,1.691,1.6
2.0,1.214,1.6
1.0,1.5015,1.9
1.0,1.19349,1.5
1.0,1.31,1.4
1.0,1.515,1.8
3.0,1.1465,1.3
7.0,2.2915,2.2
2.0,1.6125,1.4
0.0,1.71149,1.8
2.0,1.5835,1.6
1.0,1.4645,1.9
1.0,1.3785,1.8
3.0,1.28100,0.9
5.0,2.5295,2.8
2.0,1.46499,1.0
0.0,1.574,1.8
1.0,2.5365,3.3
1.0,1.312,1.0
2.0,1.9825,1.9
1.0,0.97249,1.0
3.0,1.0885,0.9
0.0,1.24549,1.6
1.0,1.5105,1.6
3.0,1.544,1.2
1.0,1.4185,2.1
1.0,1.5365,1.2
2.0,1.66698,1.5
4.0,2.084,3.0
5.0,2.5035,2.3
3.0,1.81950,1.9
2.0,1.19050,1.1
0.0,1.77598,1.4
1.0,2.055,2.5
0.0,1.5345,1.7
1.0,1.341,1.1
2.0,1.4865,1.0
1.0,1.563,0.9
1.0,1.089,0.5
5.0,1.7925,2.3
4.0,2.0645,2.3
2.0,1.8105,2.1
1.0,1.44750,1.6
2.0,1.5795,2.0
1.0,1.63649,1.8
1.0,1.494,1.7
2.0,1.92049,1.9
3.0,1.37550,1.8
1.0,1.141,1.7
0.0,1.207,1.3
1.0,1.7515,2.3
0.0,1.0805,1.1
1.0,1.391,1.1
2.0,1.4035,1.8
2.0,1.09500,1.4
0.0,1.375,1.7
1.0,1.3175,1.3
3.0,1.3265,1.6
2.0,1.0335,1.6
2.0,1.344,1.3
1.0,1.35150,1.1
2.0,1.2875,0.9
0.0,1.563,1.5
0.0,1.245,1.4
3.0,2.131,1.7
4.0,1.55500,1.9
3.0,1.746,1.5
1.0,1.329,1.1
2.0,1.38000,1.6
1.0,2.03249,2.0
1.0,1.781,2.4
1.0,1.703,1.9
1.0,1.67997,1.0
2.0,1.149,1.1
